Missing_Term,Frequency,Avg_CASS,Divergence_Rate
secretarygeneral,11,0.46330000000000005,1.0
ctitf,10,0.47306,1.0
bouaké,10,0.42432,1.0
alqaida,8,0.4241875,1.0
libération,7,0.49097142857142856,1.0
gusmão,5,0.5197,1.0
nmrd,4,0.43605,1.0
démocratiques,4,0.468125,1.0
trans-border,4,0.5765,1.0
ddrrr,4,0.420725,1.0
idps,4,0.4972,1.0
tadić,3,0.5289666666666667,1.0
icpat,3,0.4868333333333334,1.0
gctf,3,0.3682,1.0
eecc,3,0.48276666666666673,1.0
ez-zor,3,0.4935,1.0
défense,3,0.4904333333333333,1.0
néstor,2,0.4481,1.0
démocratique,2,0.5035000000000001,1.0
patriotiques,2,0.4921,1.0
duékoué,2,0.43365,1.0
yaoundé,2,0.42700000000000005,1.0
armées,2,0.5065500000000001,1.0
alharamain,2,0.5378499999999999,0.0
démocratie,2,0.38365000000000005,1.0
in-theatre,2,0.4649,1.0
ivoirian,2,0.446,1.0
ø,2,0.48724999999999996,1.0
liquiça,2,0.532,1.0
starec,2,0.47985,1.0
danané,2,0.4678,1.0
jias,2,0.3896,1.0
détachement,2,0.32594999999999996,1.0
menafatf,2,0.4716,1.0
mdsf,2,0.4666,1.0
résistance,2,0.6,1.0
intégré,2,0.46665,1.0
congrès,2,0.42455,1.0
esaamlg,2,0.39575000000000005,1.0
daraa,2,0.5162,1.0
unionunited,2,0.3197,1.0
timorleste,2,0.5005,1.0
tartous,2,0.4968,1.0
mustansiriyah,2,0.35375,1.0
sdbz,2,0.3559,1.0
clément,1,0.6,1.0
révolutionaire,1,0.5195,1.0
striking,1,0.468,1.0
ecps,1,0.4832,1.0
alliés,1,0.6,1.0
conceição,1,0.5054,1.0
adré,1,0.6,1.0
desiré,1,0.4225,1.0
onlf,1,0.4504,1.0
gédéon,1,0.4833,1.0
akodjénou,1,0.5524,1.0
réveil,1,0.6,1.0
kumassi,1,0.438,1.0
demobilise,1,0.4008,1.0
subsistance,1,0.4148,1.0
mowca,1,0.4087,1.0
zouérat,1,0.4244,1.0
drugrelated,1,0.4301,1.0
underprotected,1,0.4674,1.0
sahba,1,0.46,1.0
mdjt,1,0.432,1.0
formulistic,1,0.3907,1.0
rémissainthe,1,0.4497,1.0
retaking,1,0.3983,1.0
apologie,1,0.4797,1.0
postdevelopment,1,0.3923,1.0
blended,1,0.3732,1.0
abéché,1,0.472,1.0
hasakeh,1,0.4531,1.0
adjamé,1,0.5524,1.0
olamini,1,0.4595,1.0
hervé,1,0.4824,1.0
doté,1,0.4124,1.0
cissé,1,0.469,1.0
guéi,1,0.4953,1.0
milob,1,0.391,1.0
furundžija,1,0.5092,1.0
krstić,1,0.4268,1.0
pick-up,1,0.3991,1.0
cwpfs,1,0.4866,1.0
félix,1,0.6,1.0
kupreškić,1,0.4916,1.0
république,1,0.4399,1.0
elevated,1,0.4832,1.0
palácio,1,0.4318,1.0
cgpcs,1,0.4173,1.0
blessed,1,0.4615,1.0
patriotique,1,0.4641,1.0
goascarán,1,0.5036,1.0
unión,1,0.5429,1.0
gómez,1,0.5284,1.0
