lost_rare_lemma,representative_translation_unit
aeoi,IAEA alternate version
amig,Ammunition and Metallurgy Industries Group
anra,Armenian Nuclear Regulatory Agency
ansf,Afghan National Security Forces
aubp,African Union Border Program
cnsns,National Commission for Nuclear Safety and Safeguards
ctitf,Counter-Terrorism Implementation Task Force
ddrrr,"Disarmament, Demobilization, Repatriation, Resettlement and Reintegration"
eapcco,of said organization
eecc,Eritrea-Ethiopia Claims Commission
gctf,Global Counter-Terrorism Forum
icitap,International Criminal Investigation Training Assistance Program
icpat,IGAD Counter-Terrorism Capacity-Building Programme
idps,internally displaced persons
ir2m,IR-2m
jabiso,Somali Islamic Front
jias,Joint Interim Administrative Structure
kpcs,Kimberley Process
kps,Kosovo Police Service
mcdv,serious crimes or domestic violence
mifh,Multinational Force
nbms,National Border Control System
nc,Nepalese Congress
nmrd,National Movement for Reform and Development
nrbt,National Reserve Bank of Tonga
onlf,Oromo Liberation Front
pfep,fuel enrichment pilot plan
starec,Stabilization and Reconstruction Plan for Areas Emerging from Armed Conflict
unmo,United Nations military observers
unoau,United Nations Office at the African Union
unpos,United Nations Political Office
aqmi,Al-Qaida in the Maghreb (AQIM)
censad,Community of Sahel-Saharan States
cepgl,Economic Community of the Great Lakes Countries
cgpcs,Contact Group on Piracy off the Coast of Somalia
clag,Combined Law Agency Group (CLAG) | mixed group of law enforcement agencie
esaamlg,Eastern and Southern Africa Anti-Money Laundering Group
hcoc,Hague Code of Conduct
mdjt,Mouvement pour la démocratie et la justice au Tchad
menafatf,Middle East and North Africa Financial Action Task Force
mlat,mutual legal assistance treaty
mowca,Maritime Organization for West and Central Africa
rpii,Irish Institute of Radiation Protection
sdbz,Safe Demilitarized Border Zone
tdra,The Darfur Regional Transitional Authority
amib, African Union Mission in Burundi  
anmie, African Union Mission in Ethiopia  
aprm, African Peer Review Mechanism  
aupst, African Union Peace Support Team  
binuca, United Nations Integrated Peacebuilding Office in the Central African Republic  
cnrd, National Council for Democracy and Renewal  
cps, Central Protection Service  
cpsf, Central Planning and Statistics Framework  
csdp, Common Security and Defence Policy  
ecomib, ECOWAS Mission in Guinea-Bissau  
ecomog, ECOWAS Monitoring Group  
ecswa, Economic and Social Commission for Western Asia  
enmod, Environmental Modification Convention  
ffrc, Federal Forces Reconciliation Commission  
gaerc, General Affairs and External Relations Council  
icglr, International Conference on the Great Lakes Region  
icrc, International Committee of the Red Cross  
idmc, Internal Displacement Monitoring Centre  
idps, Internally Displaced Persons  
igad, Intergovernmental Authority on Development  
jcc, Joint Ceasefire Commission  
jcf, Joint Control Force  
joc, Joint Operations Centre  
lra, Lord's Resistance Army  
manul, United Nations Mission in Libya  
micopax, Mission for the Consolidation of Peace in Central African Republic  
minurcat, United Nations Mission in the Central African Republic and Chad  
minurso, United Nations Mission for the Referendum in Western Sahara  
minustah, United Nations Stabilization Mission in Haiti  
minusca, United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic  
minusma, United Nations Multidimensional Integrated Stabilization Mission in Mali  
monuc, United Nations Organization Mission in the Democratic Republic of the Congo  
