Missing_Term,Frequency,Avg_CASS,Divergence_Rate
secretarygeneral,11,0.36664545454545455,1.0
bouaké,10,0.5433600000000001,1.0
ctitf,10,0.84276,1.0
alqaida,8,0.41255,1.0
démocratique,8,0.45861250000000003,1.0
libération,7,0.5849714285714286,1.0
gusmão,5,0.5233800000000001,1.0
dimashq,4,0.43865,1.0
démocratie,4,0.47815,1.0
ddrrr,4,0.8549,1.0
nmrd,4,1.0,1.0
icpat,3,0.4814333333333333,1.0
gctf,3,1.0,1.0
tadić,3,0.6,1.0
jias,3,0.42650000000000005,1.0
défense,3,0.5469666666666667,1.0
eecc,3,0.48950000000000005,1.0
détachement,2,0.34045000000000003,1.0
intégré,2,0.46065,0.0
timorleste,2,0.40085000000000004,1.0
ninawa,2,0.4785,1.0
congrès,2,0.42135,1.0
ivoirien,2,0.5112,1.0
sdbz,2,0.3569,1.0
danané,2,0.5217,1.0
esaamlg,2,0.3849,1.0
unionunited,2,0.35050000000000003,1.0
yaoundé,2,0.46485,1.0
duékoué,2,0.42535,1.0
alharamain,2,0.4755,1.0
ivoirian,2,0.45840000000000003,1.0
menafatf,2,0.72645,1.0
kps,2,1.0,1.0
mustansiriyah,2,0.423,1.0
républicain,2,0.45489999999999997,1.0
résistance,2,0.6,1.0
patriotiques,2,0.46115,1.0
hasakeh,2,0.336,0.0
predeployment,2,0.272,0.0
ucpn,2,0.39875,1.0
néstor,2,0.6,1.0
négociant,2,0.4182,1.0
starec,2,0.48915,1.0
armées,2,0.52755,1.0
liquiça,2,0.43200000000000005,1.0
mdsf,2,0.45205,1.0
boarder,1,0.4191,1.0
nrbt,1,1.0,1.0
mlat,1,0.4232,1.0
dawrah,1,0.4882,1.0
opvi,1,0.4891,1.0
jérôme,1,0.6,0.3
op4,1,0.5134,1.0
ir2m,1,1.0,1.0
eightysixth,1,0.4181,1.0
aiun,1,0.5051,0.25
strs,1,0.4937,1.0
cohead,1,0.514,1.0
ecps,1,0.434,1.0
raqqah,1,0.4668,1.0
foutah,1,0.4862,1.0
peul,1,0.5244,1.0
goascorán,1,0.4913,1.0
cabañas,1,0.5507,1.0
albashir,1,0.4972,1.0
thatwho,1,0.4673,1.0
rpii,1,0.4631,1.0
leve1,1,0.4545,1.0
pfdj,1,0.4185,1.0
recategorization,1,0.3799,1.0
sijood,1,0.4636,1.0
burundais,1,0.4793,1.0
icitap,1,0.3924,1.0
pfep,1,0.4869,1.0
pertussin,1,0.3845,1.0
siniyah,1,0.2994,1.0
aachayer,1,0.3318,1.0
ansf,1,1.0,1.0
kerp,1,0.5027,1.0
op11,1,0.4868,1.0
jabiso,1,0.4594,1.0
corespondent,1,0.4126,1.0
hayy,1,0.3862,1.0
diphteria,1,0.5007,1.0
grecsa,1,0.5104,0.0
unmo,1,1.0,1.0
syrte,1,0.5344,1.0
containership,1,0.4021,1.0
poundc,1,0.5189,1.0
germot,1,0.3392,1.0
non-halogenised,1,0.4819,1.0
subprefect,1,0.5171,1.0
gendarmería,1,0.4443,1.0
bishah,1,0.3766,1.0
btwcia,1,0.4789,1.0
préfecture,1,0.4198,1.0
ralliement,1,0.4708,1.0
dékoa,1,0.4933,1.0
ngoupandé,1,0.5216,1.0
mifh,1,0.5122,1.0
aeoi,1,0.4515,1.0
hcoc,1,0.5,1.0
gullibly,1,0.397,1.0
nbms,1,1.0,1.0
dahirs,1,0.4722,1.0
preassembly,1,0.4211,1.0
cnsns,1,0.4492,1.0
anra,1,0.3717,0.0
trinitroazetidine,1,0.4866,1.0
inspectorgeneral,1,0.3963,0.0
beers,1,0.3899,1.0
kpcs,1,0.504,1.0
chlathrate,1,0.4372,1.0
hexanitrohexaazaisowurtzitane,1,0.4087,1.0
ouhamnana,1,0.538,1.0
waqaf,1,0.4579,1.0
musalman,1,0.4092,1.0
ladhiqiyah,1,0.4039,1.0
algimir,1,0.4579,1.0
taklif,1,0.525,1.0
amig,1,0.4131,0.0
eapcco,1,0.4782,1.0
lucía,1,0.6,1.0
nhaculenga,1,0.5582,1.0
hashayikah,1,0.2839,1.0
clag,1,0.412,1.0
tdra,1,0.3675,1.0
cpnm,1,0.443,1.0
unoau,1,0.4139,1.0
rayah,1,0.3526,1.0
mcdv,1,0.5207,1.0
auhip,1,0.4543,1.0
marcala,1,0.5075,1.0
reassume,1,0.4317,1.0
mapulaca,1,0.4051,1.0
sahba,1,0.5128,1.0
onlf,1,0.4555,1.0
formulistic,1,0.3963,0.5
rémissainthe,1,0.4883,1.0
drugrelated,1,0.4142,1.0
saharian,1,0.4845,1.0
mdjt,1,0.4213,1.0
zouérat,1,0.4574,1.0
mowca,1,0.4447,1.0
underprotected,1,0.4548,1.0
postdevelopment,1,0.4404,1.0
intibucá,1,0.6233,1.0
apologie,1,0.4946,0.0
taibessi,1,0.4516,1.0
patriotique,1,0.4127,1.0
goascarán,1,0.5036,1.0
unión,1,0.5306,0.0
cgpcs,1,1.0,1.0
palácio,1,0.5127,1.0
république,1,0.4044,0.0
kupreškić,1,0.2805,1.0
desiré,1,0.409,1.0
akodjénou,1,0.5318,1.0
gédéon,1,0.4833,1.0
réveil,1,0.6,1.0
alliés,1,0.3291,1.0
adré,1,0.6,1.0
abéché,1,0.472,1.0
conceição,1,0.5627,1.0
révolutionaire,1,0.5195,1.0
clément,1,0.6,1.0
furundžija,1,0.4334,1.0
krstić,1,0.4268,1.0
milob,1,0.3837,1.0
guéi,1,0.4953,1.0
doté,1,0.5983,1.0
cissé,1,0.6,1.0
hervé,1,0.6,1.0
olamini,1,0.4595,1.0
sabhan,1,0.4565,1.0
adjamé,1,0.5524,1.0
kumassi,1,0.438,1.0
demobilise,1,0.3998,1.0
subsistance,1,0.3974,1.0
houphouët,1,0.409,1.0
félix,1,0.5052,1.0
fidèle,1,0.4745,1.0
unachieved,1,0.3851,1.0
muñoz,1,0.5137,1.0
riskbased,1,0.3401,1.0
snowplough,1,0.4111,1.0
censad,1,0.4831,1.0
hadramawt,1,0.2081,1.0
aubp,1,0.4303,1.0
libertação,1,0.4666,1.0
força,1,0.3113,1.0
lootable,1,0.5441,1.0
yazeed,1,0.5289,1.0
cepgl,1,1.0,1.0
azeoni,1,0.5566,1.0
euro400,1,0.4368,1.0
françois,1,0.5422,1.0
présidentielle,1,0.4313,1.0
majorité,1,0.2871,1.0
aqmi,1,0.5215,1.0
retraumatization,1,0.3835,1.0
djébock,1,0.4584,1.0
nonrefoulement,1,0.3722,1.0
belengöz,1,0.4713,1.0
reengage,1,0.3549,1.0
carjack,1,0.4806,1.0
gonçalves,1,0.531,1.0
moisés,1,0.6,1.0
antónio,1,0.6,1.0
gomes,1,0.5266,1.0
plácido,1,0.6,1.0
andré,1,0.6,1.0
abrão,1,0.5022,1.0
excombatant,1,0.348,1.0
alshabaab,1,0.3633,1.0
fraternité,1,0.4642,1.0
kimoon,1,0.2945,1.0
wallström,1,0.6,1.0
unpos,1,0.4574,0.0
keïta,1,0.6,1.0
proscriptive,1,0.4867,1.0
jelisić,1,0.3381,1.0
counterpiracy,1,0.493,1.0
antimoney,1,0.4104,1.0
ménaka,1,0.6,1.0
alrezeigat,1,0.4256,1.0
